algo,lang,model,impl,status,reps,iters_per_rep,mean_ms,sd_ms,median_ms,iqr_ms,speedup_mean,speedup_median,detail,params
sccs,csharp,claude-sonnet-4-5,par,ok,5,20,26.3259,5.2006,24.0087,6.5688,1.6048,1.7050,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,csharp,gemini-2-5-pro,par,ok,5,20,28.9228,5.1213,26.8562,7.1061,1.4607,1.5242,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,csharp,gpt-5,par,ok,5,20,30.6095,6.1772,28.2341,7.7668,1.3802,1.4499,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,go,baseline,seq,ok,5,20,60.5402,1.3776,60.4862,2.5706,1.0000,1.0000,,"{""cluster_size"":300,""graph_size"":100000,""no_cluster_in_group"":3}"
sccs,go,claude-sonnet-4-5,par,ok,5,20,40.9730,1.6175,40.9691,2.7986,1.4776,1.4764,,"{""cluster_size"":300,""graph_size"":100000,""no_cluster_in_group"":3}"
sccs,go,gemini-2-5-pro,par,ok,5,20,28.8432,1.2876,28.5902,2.3113,2.0989,2.1156,,"{""cluster_size"":300,""graph_size"":100000,""no_cluster_in_group"":3}"
sccs,go,gpt-5,par,ok,5,20,49.7049,2.1284,49.0639,3.5717,1.2180,1.2328,,"{""cluster_size"":300,""graph_size"":100000,""no_cluster_in_group"":3}"
sccs,java,baseline,seq,ok,5,20,33.0430,8.2165,27.3027,14.5188,1.0000,1.0000,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,java,claude-sonnet-4-5,par,ok,5,20,22.7050,5.4216,20.8071,7.1193,1.4553,1.3122,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,java,gemini-2-5-pro,par,ok,5,20,24.3510,4.9672,22.9239,7.5865,1.3569,1.1910,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,java,gpt-5,par,ok,5,20,45.6851,4.8869,47.1965,7.0645,0.7233,0.5785,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,python,baseline,seq,ok,5,20,266.7297,3.1348,265.7211,5.8471,1.0000,1.0000,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,python,claude-sonnet-4-5,par,ok,5,20,22869.9385,179.1203,22930.8393,323.5033,0.0117,0.0116,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,python,gemini-2-5-pro,par,ok,5,20,23011.3753,206.7390,23046.4575,405.2213,0.0116,0.0115,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,python,gpt-5,par,ok,5,20,1918.3977,44.7365,1935.9566,81.9267,0.1390,0.1373,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,rust,baseline,seq,ok,5,20,48.1164,0.8442,48.3348,1.5225,1.0000,1.0000,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,rust,claude-sonnet-4-5,par,ok,5,20,978.6497,36.4141,978.2139,60.3057,0.0492,0.0494,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,rust,gemini-2-5-pro,par,ok,5,20,44.1302,2.5509,44.0802,4.1694,1.0903,1.0965,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,rust,gpt-5,par,ok,5,20,22.2922,1.4897,21.6626,2.7386,2.1584,2.2313,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
smith-waterman,cpp,baseline,seq,ok,5,1,1229.0450,8.3939,1227.5639,12.5437,1.0000,1.0000,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,cpp,claude-sonnet-4-5,par,ok,5,1,954.7092,39.3802,938.5817,47.5236,1.2874,1.3079,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,cpp,gemini-2-5-pro,par,ok,5,1,883.0180,189.2789,867.9496,336.7358,1.3919,1.4143,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,cpp,gpt-5,par,ok,5,1,1127.4471,435.3621,1010.5099,750.2888,1.0901,1.2148,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,csharp,baseline,seq,ok,5,1,1843.5584,56.9329,1810.8942,107.5708,1.0000,1.0000,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,csharp,claude-sonnet-4-5,par,ok,5,1,4177.7929,202.3090,4257.8932,382.4188,0.4413,0.4253,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,csharp,gemini-2-5-pro,par,ok,5,1,4283.7143,101.0329,4232.3862,151.5566,0.4304,0.4279,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,csharp,gpt-5,par,ok,5,1,1016.6495,47.6975,1008.3968,74.6936,1.8134,1.7958,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,go,baseline,seq,ok,5,1,3749.7466,550.8493,3560.1087,1012.8531,1.0000,1.0000,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,go,claude-sonnet-4-5,par,ok,5,1,1001.0939,227.9814,973.1779,437.6963,3.7456,3.6582,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,go,gemini-2-5-pro,par,ok,5,1,2355.0264,568.7822,2035.9826,886.6983,1.5922,1.7486,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,go,gpt-5,par,ok,5,1,2009.2853,853.5086,1697.0072,1161.6925,1.8662,2.0979,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,java,baseline,seq,ok,5,1,1585.2684,141.8458,1615.3400,208.8366,1.0000,1.0000,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,java,claude-sonnet-4-5,par,ok,5,1,9478.7562,428.9326,9284.8001,734.2576,0.1672,0.1740,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,java,gemini-2-5-pro,par,ok,5,1,12283.6165,105.5635,12327.0571,198.3874,0.1291,0.1310,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,java,gpt-5,par,ok,5,1,31193.8102,341.7329,31345.9811,661.3881,0.0508,0.0515,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,python,baseline,seq,ok,5,1,122507.6468,1291.8073,122326.4595,2262.5808,1.0000,1.0000,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,python,claude-sonnet-4-5,par,ok,5,1,385937.8480,22810.2190,394817.5357,33438.2772,0.3174,0.3098,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,python,gemini-2-5-pro,par,ok,5,1,139015.2296,708.8122,138783.4253,1042.2782,0.8813,0.8814,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,python,gpt-5,par,ok,5,1,39564.2932,1096.1015,39863.1935,1746.0070,3.0964,3.0687,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,rust,baseline,seq,ok,5,1,2482.6155,94.7753,2470.8443,183.8872,1.0000,1.0000,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,rust,claude-sonnet-4-5,par,ok,5,1,920.5653,14.0628,917.6257,23.9236,2.6968,2.6926,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,rust,gemini-2-5-pro,par,ok,5,1,26587.2148,3773.9466,24383.8977,6469.0505,0.0934,0.1013,,"{""query_len"":10000,""reference_len"":10003}"
smith-waterman,rust,gpt-5,par,ok,5,1,72469.7132,4128.3302,72210.7834,6584.9107,0.0343,0.0342,,"{""query_len"":10000,""reference_len"":10003}"
