stage,MB,NB,KB,avg_ms,sd_ms,gflops
3,64,72,32,24.189081,0.175616,1.387173
3,72,40,32,24.906644,0.172770,1.347208
3,72,48,32,24.359503,0.073101,1.377468
3,72,56,32,24.520339,0.659419,1.368433
3,72,64,32,24.487770,0.474493,1.370253
3,72,72,32,24.599063,0.708085,1.364053
3,4,56,48,25.320600,0.584591,1.325183
3,4,64,48,25.169881,0.240935,1.333118
3,4,72,48,24.852092,0.311957,1.350165
3,8,40,48,25.225933,0.250966,1.330156
3,8,48,48,25.397677,0.063292,1.321161
3,8,56,48,24.828391,0.086281,1.351454
3,8,64,48,24.910353,0.157963,1.347008
3,8,72,48,24.647442,0.339404,1.361376
3,16,40,48,25.653152,0.299298,1.308004
3,16,48,48,25.268908,0.124995,1.327894
3,16,56,48,25.700607,0.640974,1.305589
3,16,64,48,24.832201,0.305153,1.351247
3,16,72,48,25.080456,0.386986,1.337872
3,24,40,48,25.872361,0.433480,1.296922
3,24,48,48,25.469732,0.275764,1.317424
3,24,56,48,25.427456,0.387948,1.319614
3,24,64,48,24.990874,0.155064,1.342667
3,24,72,48,25.106553,0.181675,1.336481
3,40,56,48,25.344633,0.102791,1.323927
3,40,64,48,25.039395,0.171754,1.340066
3,40,72,48,25.258500,0.105418,1.328441
3,48,56,48,25.744553,0.272960,1.303360
3,48,64,48,25.024699,0.158506,1.340853
3,48,72,48,25.020347,0.083628,1.341086
3,56,56,48,25.447640,0.204659,1.318568
3,56,64,48,25.399717,0.338571,1.321055
3,56,72,48,25.128144,0.168968,1.335333
3,64,56,48,25.477344,0.183128,1.317030
3,64,64,48,25.022279,0.128418,1.340982
3,64,72,48,25.570033,0.294861,1.312256
3,72,56,48,25.824032,0.149720,1.299349
3,72,64,48,25.383909,0.218628,1.321878
3,72,72,48,25.290770,0.431084,1.326746
