stage,MB,NB,KB,avg_ms,sd_ms,gflops
2,48,64,96,110.013546,3.356544,0.305003
2,64,8,96,124.293562,1.060392,0.269961
2,64,16,96,114.866003,1.262656,0.292118
2,64,32,96,111.701928,1.673261,0.300393
2,64,48,96,110.342672,1.948471,0.304093
2,64,64,96,107.223170,0.803154,0.312940
3,8,56,16,104.112468,0.637018,0.322290
3,8,64,16,103.654922,0.415883,0.323713
3,8,72,16,106.607506,2.642034,0.314747
3,16,56,16,107.396499,2.476452,0.312435
3,16,64,16,104.465547,1.387612,0.321201
3,16,72,16,104.689122,0.881854,0.320515
3,24,24,16,110.111827,2.396888,0.304730
3,24,32,16,107.451275,0.489205,0.312276
3,24,40,16,106.548457,2.637928,0.314922
3,24,48,16,106.108919,0.647058,0.316226
3,24,56,16,106.330972,2.708135,0.315566
3,24,64,16,105.575373,0.421196,0.317824
3,24,72,16,104.240564,1.739176,0.321894
3,32,24,16,107.684128,1.107139,0.311601
3,32,32,16,109.238853,0.495941,0.307166
3,32,40,16,106.552257,3.157616,0.314911
3,32,48,16,106.709347,1.208123,0.314447
3,32,56,16,106.711915,3.342334,0.314439
3,32,64,16,105.952172,2.949854,0.316694
3,32,72,16,105.119085,2.193650,0.319204
3,40,24,16,108.817817,0.683244,0.308354
3,40,32,16,108.146086,2.971228,0.310270
3,40,40,16,107.519989,0.682851,0.312076
3,40,48,16,105.990669,2.001565,0.316579
3,40,56,16,105.267819,1.374487,0.318753
3,40,64,16,103.142437,0.082763,0.325321
3,40,72,16,103.074507,0.625964,0.325536
3,48,56,16,104.561539,2.983334,0.320906
3,48,64,16,105.424827,1.643605,0.318278
3,48,72,16,104.088068,1.223123,0.322366
3,56,56,16,105.757726,0.491631,0.317276
3,56,64,16,103.876123,1.136253,0.323024
3,56,72,16,104.949752,2.295007,0.319719
3,4,40,96,109.262264,0.730849,0.307100
3,4,48,96,110.851558,0.115171,0.302697
3,4,56,96,109.792626,1.046263,0.305616
3,4,64,96,109.208198,1.743646,0.307252
3,4,72,96,109.040870,0.075831,0.307723
3,8,40,96,109.430471,0.860005,0.306628
3,8,48,96,108.675224,0.912812,0.308759
3,8,56,96,109.231981,1.319691,0.307185
3,8,64,96,108.487279,0.575057,0.309294
3,8,72,96,109.482774,1.285881,0.306481
3,16,40,96,110.693397,0.479147,0.303129
3,16,48,96,110.671417,0.118087,0.303190
3,16,56,96,111.977476,2.018480,0.299653
3,16,64,96,109.105130,1.460644,0.307542
3,16,72,96,109.275366,0.230865,0.307063
3,24,40,96,111.179339,0.480863,0.301805
3,24,48,96,110.191449,4.183039,0.304510
3,24,56,96,110.759925,2.109829,0.302947
3,24,64,96,108.301031,0.756442,0.309826
3,24,72,96,109.645310,1.469974,0.306027
3,32,56,96,109.447891,1.058755,0.306579
3,32,64,96,109.159247,1.027080,0.307390
3,32,72,96,107.910064,1.537390,0.310948
3,40,56,96,106.478409,0.823436,0.315129
3,40,64,96,107.443263,1.001562,0.312299
3,40,72,96,109.390297,2.850456,0.306740
3,56,56,96,108.684394,1.589933,0.308733
3,56,64,96,109.230634,1.836510,0.307189
3,56,72,96,107.956004,1.593841,0.310816
3,64,56,96,106.850835,0.890454,0.314031
3,64,64,96,105.214323,0.194379,0.318915
3,64,72,96,105.641137,0.254993,0.317627
3,72,56,96,105.960590,0.372571,0.316669
3,72,64,96,105.271906,0.386763,0.318741
3,72,72,96,104.870409,0.322542,0.319961
